condition,alpha,seed,top_k,bottom_k,max_samples,epochs,batch_size,lr,mse_mean,mse_std,rmse_mean,rmse_std,n_targets_used
bottomk,100.0,2,100,100,5000,,,,27133.145681057264,34949.70661303826,142.954486619488,82.01703414336791,227
bottomk,100.0,3,100,100,5000,,,,30174.060414537442,39770.76897786952,151.30944924464606,85.50860313097996,227
bottomk,100.0,4,100,100,5000,,,,26051.421907488988,36262.93775977431,140.01356351759063,80.47455031286235,227
bottomk,100.0,5,100,100,5000,,,,27238.93381013216,41975.61286462733,140.7632204209215,86.3568296005794,227
bottomk,100.0,6,100,100,5000,,,,22825.240231718064,30559.781019565904,132.3772565103754,72.97232464981917,227
bottomk,100.0,7,100,100,5000,,,,29072.60409823788,32351.609384277475,151.03762386155427,79.29653494767672,227
bottomk,100.0,8,100,100,5000,,,,23501.871373127753,29503.382440607456,133.5091508521958,75.5135634740077,227
bottomk,100.0,9,100,100,5000,,,,26686.691471365637,33994.005347378115,141.60838375561062,81.62787531907568,227
random,,0,100,100,5000,,,,18744.625272228677,32858.81815297,110.41693473849278,81.12780138220003,227
random,,0,100,100,10000,,,,18057.83324602225,32093.490134767104,107.53092637413094,80.76925009719714,227
random,,0,100,100,50000,,,,16932.013551451055,32169.982469112485,103.674449581946,78.80979136419822,227
random,,0,100,100,20000,,,,17565.775386504065,32439.313549337487,105.94884073166472,79.80397464000264,227
random,,0,100,100,1000,,,,20331.57539916922,35746.764690130694,115.08067163159068,84.37640257582213,227
random,,1,100,100,5000,,,,17421.427229074892,30694.313027208304,106.26308837611407,78.46467566839887,227
random,,2,100,100,5000,,,,19729.863081057272,32543.43745944283,114.52196477593515,81.509819836666,227
random,,3,100,100,5000,,,,21624.848297797358,38451.30139877229,116.94918934947718,89.34708937134253,227
random,,4,100,100,5000,,,,16172.627095594711,32381.52930535498,103.1737678216589,74.51348887509255,227
random,,5,100,100,5000,,,,17227.778146255507,36319.874642213166,102.60393635439769,82.03570770993716,227
random,,6,100,100,5000,,,,16192.430604405286,29094.047709148155,103.47457179280111,74.22745766240027,227
random,,7,100,100,5000,,,,16667.082030396472,27251.43653087789,105.05422092023139,75.20377162547442,227
random,,8,100,100,5000,,,,16666.072220704846,27284.79057534232,106.45134871933143,73.19689306461335,227
random,,9,100,100,5000,,,,16016.39510352423,30229.352276371887,101.91311606886501,75.1998927932249,227
topk,0.0,0,100,100,5000,,,,12959.77613920705,26299.41077420925,90.23396549988831,69.56237817384549,227
topk,0.0,1,100,100,5000,,,,11920.764415418504,20396.16830696283,88.57979520793847,63.97196687172456,227
topk,0.0,2,100,100,5000,,,,13443.19603876652,24247.35782248191,95.10232396825754,66.46959819116009,227
topk,0.0,3,100,100,5000,,,,15304.331217621148,30182.44785057055,97.31776567890918,76.54669175181009,227
topk,0.0,4,100,100,5000,,,,11309.607027753305,21756.038936835488,86.31037808033467,62.267213406682615,227
topk,0.0,5,100,100,5000,,,,11010.89164537445,21711.21691127955,83.24285533317448,64.02795091621135,227
topk,0.0,6,100,100,5000,,,,11439.193360792953,24142.277296498767,86.94995799155836,62.418438239679524,227
topk,0.0,7,100,100,5000,,,,11611.99493832599,20198.446586944217,87.81624051784392,62.59042112659669,227
topk,0.0,8,100,100,5000,,,,12218.830265638766,21752.01119620962,90.62376170955531,63.43414277011781,227
topk,0.0,9,100,100,5000,,,,10880.05757753304,19017.65193540464,85.60545487813157,59.728380533078514,227
topk,50.0,0,100,100,5000,,,,13003.926159471366,26477.6608290202,90.30611702521168,69.78671758265148,227
topk,50.0,1,100,100,5000,,,,11904.017866960354,20357.19320880393,88.52710122415084,63.91373607638728,227
topk,50.0,2,100,100,5000,,,,13409.752096475771,23918.270960181144,95.10618411548971,66.21086072310244,227
topk,50.0,3,100,100,5000,,,,15299.544943171808,30114.40221341918,97.35827279443916,76.46350703404784,227
topk,50.0,4,100,100,5000,,,,11260.001559911894,21650.03680872854,86.13394366330276,62.11232278818902,227
topk,50.0,5,100,100,5000,,,,11014.614190748896,21698.78129253631,83.27781323840246,64.01148759409938,227
topk,50.0,6,100,100,5000,,,,11455.435401321585,24140.366063497506,86.98818792812294,62.495570025049155,227
