condition,alpha,seed,top_k,bottom_k,max_samples,epochs,batch_size,lr,mse_mean,mse_std,rmse_mean,rmse_std,n_targets_used
bottomk,50.0,8,100,100,50000,20,32,0.001,17787.359629089086,29263.25281099809,113.62910763025174,69.98113889106561,227
bottomk,50.0,9,100,100,50000,20,32,0.001,16480.391524394705,29400.39434234472,108.39051149040904,68.94074341902659,227
bottomk,100.0,0,100,100,50000,20,32,0.001,24170.745870581806,35227.015001822176,132.9867348163961,80.70917009326261,227
bottomk,100.0,1,100,100,50000,20,32,0.001,24964.796094314643,33262.63184639132,136.12588602698062,80.39285204720936,227
bottomk,100.0,2,100,100,50000,20,32,0.001,26334.385587851906,35120.79218685033,141.2311595420992,80.10250490017474,227
bottomk,100.0,3,100,100,50000,20,32,0.001,29368.048521067078,40449.87629491854,148.01664059827706,86.55707709046074,227
bottomk,100.0,4,100,100,50000,20,32,0.001,24298.423772332953,38145.88118228223,134.64429828385357,78.718705922002,227
bottomk,100.0,5,100,100,50000,20,32,0.001,23771.275263849333,40530.85415206362,130.72822269255772,81.92051515662932,227
bottomk,100.0,6,100,100,50000,20,32,0.001,23028.593959724327,34588.1518528126,131.53742973220713,75.84086647896609,227
bottomk,100.0,7,100,100,50000,20,32,0.001,26218.77407756251,31035.784822020534,142.64192388844097,76.79868601733169,227
bottomk,100.0,8,100,100,50000,20,32,0.001,22477.11821151935,30901.652000788916,129.46388079413467,75.772784018885,227
bottomk,100.0,9,100,100,50000,20,32,0.001,23024.71311675084,33746.07442641777,130.62196431316053,77.38862196985806,227
random,,0,100,100,5000,20,32,0.001,20018.90321726526,34847.47552823906,113.44793526706843,84.73546834471723,227
random,,0,100,100,1000,20,32,0.001,21133.972934941365,36941.29464514931,116.63803101116368,86.96470098383836,227
random,,0,100,100,20000,20,32,0.001,18679.930235001484,33680.86669205184,108.69937371706521,83.03462973585856,227
random,,0,100,100,10000,20,32,0.001,19115.80780829207,33280.84953015241,111.07908033831964,82.50596058711925,227
random,,0,100,100,50000,20,32,0.001,18189.52232549054,34475.97843709057,106.73509244226803,82.62698238476162,227
random,,1,100,100,50000,20,32,0.001,16207.337287734783,27386.74505449619,102.40980778822812,75.79496277447629,227
random,,2,100,100,50000,20,32,0.001,18022.22423449277,30406.63431644648,109.1996203036365,78.2601302591309,227
random,,3,100,100,50000,20,32,0.001,19889.125862961824,34307.497698728825,112.12744395651555,85.7259374031866,227
random,,4,100,100,50000,20,32,0.001,15886.497907798195,31596.98668066464,101.61409806746138,74.73740361661511,227
random,,5,100,100,50000,20,32,0.001,65380.78736028797,747147.5211317308,112.28698027385123,230.2301624695217,227
random,,6,100,100,50000,20,32,0.001,16077.47653628446,29688.779216702136,102.44643863518941,74.87926123988929,227
random,,7,100,100,50000,20,32,0.001,15856.225951056123,25485.969848588375,102.35615847336919,73.50677259791622,227
random,,8,100,100,50000,20,32,0.001,16054.877783351007,26546.479448356837,103.72490855336812,72.93459296353086,227
random,,9,100,100,50000,20,32,0.001,16715.821896926947,38120.337564475194,100.05078002999919,82.06908302715969,227
topk,0.0,0,100,100,50000,20,32,0.001,15008.77007700378,43759.00769894117,93.08346906011444,79.8267481092492,227
topk,0.0,1,100,100,50000,20,32,0.001,24285.011058269618,199914.574066245,93.79629428428152,124.72286864692299,227
topk,0.0,2,100,100,50000,20,32,0.001,12480.563978388445,21797.913811917486,91.85066132818427,63.73314589547098,227
topk,0.0,3,100,100,50000,20,32,0.001,14890.204856200366,28019.18953286788,96.62989994926134,74.68224354726314,227
topk,0.0,4,100,100,50000,20,32,0.001,290287.7115107465,4213928.348063554,118.29655285482787,526.798040344342,227
