condition,alpha,seed,top_k,bottom_k,max_samples,epochs,batch_size,lr,mse_mean,mse_std,rmse_mean,rmse_std,n_targets_used
topk,100.0,0,100,100,10000,,,,20934.21169307729,36034.67982272165,117.44614201005382,84.68890755868225,227
topk,100.0,0,100,100,20000,,,,20813.8765281835,35934.77200988423,117.0167017115412,84.5723167290334,227
topk,100.0,0,100,100,1000,,,,21601.019387726952,36655.98644816591,119.6890576389853,85.485329521095,227
topk,100.0,0,100,100,5000,,,,21092.619176077067,36201.725477421096,117.97377661863602,84.89142560326626,227
topk,100.0,1,100,100,5000,,,,18678.33051938326,30706.134696667137,111.11245672243932,79.75193878051196,227
topk,100.0,2,100,100,5000,,,,21402.13523480176,34446.93678981285,120.75753436382746,82.76429802742503,227
topk,100.0,3,100,100,5000,,,,23610.918782819383,41036.61328345258,123.29654536193526,91.90260127596652,227
topk,100.0,4,100,100,5000,,,,18899.97029427313,35062.865492284414,112.54549540808266,79.12688250721726,227
topk,100.0,5,100,100,5000,,,,19042.72070572687,39365.40480066599,108.12768959783843,85.92817083391719,227
topk,100.0,6,100,100,5000,,,,18174.470172687223,29532.548045412997,111.83730321017106,75.4450959842231,227
topk,100.0,7,100,100,5000,,,,18655.491824229077,30856.068179366594,111.52563257373801,79.02554192335491,227
topk,100.0,8,100,100,5000,,,,19272.8278,29537.809317526135,115.6708341114854,76.93608735463317,227
topk,100.0,9,100,100,5000,,,,18073.23493700441,32154.637939827873,109.90906685847192,77.58705230119264,227
